Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C2, C3, C4, C5, C6, C7, C8, C9",0805,14,10uF,C15850
"D1, D11, D12, D14, D15, D16, D17, D2, D22, D3, D4, D9",Nexperia_CFP3_SOD-123W,12,1N4148W,C2128
"D10, D13, D18, D19, D21, D23, D5, D6, D7, D8",SK6812MINI-E,10,SK6812MINI,
D20,0603,1,LED Orange,C2286
D24,Nexperia_CFP3_SOD-123W,1,MBR0540,C78545
J1,SSD1306-OLED096-128x64,1,OLED_DISPLAY,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Testpad wire hole1,
J4,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST PH,C295747
J5,PinHeader_1x02_P2.54mm_Vertical,1,Top Trigger 1,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Top Trigger 2,
Q1,SOT-23-3,1,DMG3415,C7202986
"R1, R3, R4",0805,3,10k,C17414
R2,0805,1,2k,C17604
"SW2, SW3, SW4, SW5, SW6, SW7",MX-Solderable-1U,6,SW_Push_45deg,
U1,SOT-23-5,1,AP2112K-3.3,C51118
U3,XIAO-RP2040-DIP,1,XIAO-RP2040-DIP,
U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y_COSTSAVERPADs,1,LSM6DS3,C967633
U5,Adafruit 2-Axis joystick,1,2_axis_analog_joystick_button,
U6,Alps SRBE110301,1,Alps SRBE110301,
U8,SOT-23-5,1,MCP73831-2-OT,C424093
